name,price,Brand,Collection,Series,Model No,Features,Movement,Calibre,Case Size,Case Thickness,Case Shape,Case Material,Case Back,Glass Material,Luminosity,Dial Colour,Hands,Indexes,Strap Material,Strap Colour,Clasp Type,Buckle/Clasp Material,EAN,Gender,Water Resistance (M),Warranty Period,Country of Origin,Reference,Display,Power Reserve,Jewels,Frequency,Precious Stone,Interchangeable Strap,Bezel,Lug Width,Limited Edition,Diameter,Date,Chronograph,Base,Frequency (bph),Power Reserve (hours),jewels,Dial Type
Avenger B01 Chronograph 44 Night Mission,827700,Breitling,Avenger,,SB0147101I1X1,"Chronograph, Date, Small Seconds, 1/4th seconds",Automatic,Breitling 01 (Manufacture),44.0,15.2,Round,Ceramic,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Yellow,Pencil,Arabic Numerals,Leather,Yellow,Folding Clasp,Titanium,,Men,300,5 Years,Switzerland,Breitling 01 (Manufacture),Analog,Approx. 70 hours,45.0,28800 bph,,0,Unidirectional Rotating Bezel,22.0,0,,,,,28800.0,0.7,,
Endurance Pro 44,311600,Breitling,Professional,,X82310D51B1S2,"Chronograph, Compass, Date, Pulsometer, Small Seconds, 1/10th Seconds",SuperQuartz™,,44.0,12.5,Round,Breitlight®,,Sapphire Crystal,"On Hands, Hour Markers",Black,Pencil,Arabic Numerals,Rubber,Blue,Tang Buckle,Breitlight®,,Men,100,2 Years,Switzerland,,,,,,,0,Bi-directional Rotating Bezel,22.0,0,,,,,,,,
Endurance Pro 38,306900,Breitling,Professional,,X83310D41B1S1,"Chronograph, Compass, Date, Pulsometer, Small Seconds, 1/10th Seconds",SuperQuartz™,,38.0,12.1,Round,Breitlight®,,Sapphire Crystal,"On Hands, Hour Markers",Black,Pencil,Arabic Numerals,Rubber,Pink,Tang Buckle,Breitlight®,,Women,100,2 Years,Switzerland,,,,,,,0,Bi-directional Rotating Bezel,18.0,0,,,,,,,,
Endurance Pro 38,306900,Breitling,Professional,,X83310F61B1S1,"Chronograph, Compass, Date, Pulsometer, Small Seconds, 1/10th Seconds",SuperQuartz™,,38.0,12.1,Round,Breitlight®,,Sapphire Crystal,"On Hands, Hour Markers",Black,Pencil,Arabic Numerals,Rubber,Purple,Tang Buckle,Breitlight®,,Women,100,2 Years,Switzerland,,,,,,,0,Bi-directional Rotating Bezel,18.0,0,,,,,,,,
Top Time B01 Shelby Cobra,734700,Breitling,Top Time,,AB01763A1C1A1,"Chronograph, Small Seconds, Tachymeter, 1/4th seconds",Automatic,Breitling 01 (Manufacture),41.0,13.3,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Blue,,Baton,Steel,Silver,Butterfly Clasp,Steel,,Men,100,5 Years,Switzerland,Breitling 01 (Manufacture),Analog,Approx. 70 hours,34.0,28800 bph,,0,,20.0,0,,,,,28800.0,0.7,,
Navitimer B01 Chronograph 43,1785600,Breitling,Navitimer,,RB0138211B1P1,"Chronograph, Date, Small Seconds, 1/4th seconds",Automatic,Breitling 01 (Manufacture),43.0,13.6,Round,Rose Gold,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Black,,Baton,Leather,Black,Folding Clasp,Rose Gold,,Men,30,5 Years,Switzerland,Breitling 01 (Manufacture),Analog,Approx. 70 hours,47.0,28800 bph,,0,Bi-directional Rotating Bezel,22.0,0,,,,,28800.0,0.7,,
Super Chronomat Automatic 38,1097400,Breitling,Chronomat,,U17356531L1S1,Date,Automatic,Breitling 17,38.0,11.88,Round,Steel & Rose Gold,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Green,,Baton,Rubber,Green,Folding Clasp,Steel,,Men,100,2 Years,Switzerland,Breitling 17,Analog,Approx. 38 hours,25.0,28800 bph,On Bezel,0,,20.0,0,,,,,28800.0,0.38,,
Endurance Pro 44,311600,Breitling,Professional,,X82310281B1S2,"Chronograph, Compass, Date, Pulsometer, Small Seconds, 1/10th Seconds",SuperQuartz™,,44.0,12.5,Round,Breitlight®,,Sapphire Crystal,"On Hands, Hour Markers",Black,Pencil,Arabic Numerals,Rubber,Blue,Tang Buckle,Breitlight®,,Men,100,2 Years,Switzerland,,,,,,,0,Bi-directional Rotating Bezel,22.0,0,,,,,,,,
Endurance Pro 44 IRONMAN®,330200,Breitling,Professional,,X823109A1K1S1,"Chronograph, Compass, Date, Pulsometer, Small Seconds, 1/10th Seconds",SuperQuartz™,,44.0,12.5,Round,Breitlight®,,Sapphire Crystal,"On Hands, Hour Markers",Red,Pencil,Arabic Numerals,Rubber,Red,Tang Buckle,Breitlight®,,Men,100,2 Years,Switzerland,,,,,,,0,Bi-directional Rotating Bezel,22.0,0,,,,,,,,
Endurance Pro 44,311600,Breitling,Professional,,X82310A71B1S2,"Chronograph, Compass, Date, Pulsometer, Small Seconds, 1/10th Seconds",SuperQuartz™,,44.0,12.5,Round,Breitlight®,,Sapphire Crystal,"On Hands, Hour Markers",Black,Pencil,Arabic Numerals,Rubber,White,Tang Buckle,Breitlight®,,Men,100,2 Years,Switzerland,,,,,,,0,Bi-directional Rotating Bezel,22.0,0,,,,,,,,
Endurance Pro 38,306900,Breitling,Professional,,X83310281B1S1,"Chronograph, Compass, Date, Pulsometer, Small Seconds, 1/10th Seconds",SuperQuartz™,,38.0,12.1,Round,Breitlight®,,Sapphire Crystal,"On Hands, Hour Markers",Black,Pencil,Arabic Numerals,Rubber,Blue,Tang Buckle,Breitlight®,,Men,100,2 Years,Switzerland,,,,,,,0,Bi-directional Rotating Bezel,18.0,0,,,,,,,,
Endurance Pro 38,306900,Breitling,Professional,,X83310D91B2S1,"Chronograph, Compass, Date, Pulsometer, Small Seconds, 1/10th Seconds",SuperQuartz™,,38.0,12.1,Round,Breitlight®,,Sapphire Crystal,"On Hands, Hour Markers",Black,Pencil,Arabic Numerals,Rubber,Red,Tang Buckle,Breitlight®,,Men,100,2 Years,Switzerland,,,,,,,0,Bi-directional Rotating Bezel,18.0,0,,,,,,,,
Seamaster Aqua Terra Shades 34 mm,1169700,Omega,Seamaster,Aqua Terra,220.20.34.20.10.001,Date,Automatic,8800,34.0,12.0,Round,Steel & Sedna™ Gold,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Pink,,,Steel & Sedna™ Gold,Silver & Rose Gold,Butterfly Clasp,Steel,,Women,150,5 Years,Switzerland,8800,Analog,Approx. 55 hours,35.0,25200 bph,,0,,16.0,0,,,,,25200.0,0.55,,
Captain Cook High-Tech Ceramic Skeleton Limited Edition,443200,Rado,Captain Cook,,R32152208,,Automatic,R808,43.0,14.6,Round,Ceramic,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Skeleton,Arrow,,Rubber,Blue,Folding Clasp,,,Men,300,5 Years,Switzerland,R808,Analog,Approx. 80 hours,25.0,21600 bph,,0,Unidirectional Rotating Bezel,,1,,,,,21600.0,0.8,,
Captain Cook High-Tech Ceramic Skeleton Limited Edition,443200,Rado,Captain Cook,,R32152209,,Automatic,R808,43.0,14.6,Round,Ceramic,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Skeleton,Arrow,,Rubber,Blue,Folding Clasp,,,Men,300,5 Years,Switzerland,R808,Analog,Approx. 80 hours,25.0,21600 bph,,0,Unidirectional Rotating Bezel,,1,,,,,21600.0,0.8,,
Speedmaster Moonwatch Professional 42 mm,757500,Omega,Speedmaster,Moonwatch,310.32.42.50.04.002,"Chronograph, Small Seconds, Tachymeter",Manual Winding,3861,42.0,13.2,Round,Steel & Aluminium,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",White,Pencil,Baton,Leather,Black,Folding Clasp,Steel,,Men,50,5 Years,Switzerland,3861,Analog,Approx. 50 hours,26.0,21600 bph,,0,,20.0,0,,,,,21600.0,0.5,,
Speedmaster Moonwatch Professional 42 mm,1771200,Omega,Speedmaster,Moonwatch,310.20.42.50.02.001,"Chronograph, Small Seconds, Tachymeter",Manual Winding,3861,42.0,13.2,Round,Steel & Moonshine™ Gold,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Silver,Pencil,Baton,Steel & Moonshine™ Gold,Silver & Yellow Gold,Folding Clasp,,,Men,50,5 Years,Switzerland,3861,Analog,Approx. 50 hours,26.0,21600 bph,,0,,20.0,0,,,,,21600.0,0.5,,
"Freelancer Calibre RW1212 Men's Automatic Green Steel Watch, 42.5mm",250000,Raymond Weil,Freelancer,,2781-ST-52051,Open Balance Wheel,Automatic,RW1212,42.5,10.9,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Green,Baton,Baton,Steel,Silver,Folding Clasp,Steel,,Men,100,2 Years + 1 year warranty extension by registering here,Switzerland,RW1212,Analog,Approx. 41 hours,27.0,28800 bph,,0,,,0,,,,,28800.0,0.41,,
Aquaracer Professional 300 Date,377400,TAG Heuer,Aquaracer,Professional 300,WBP5111.BA0013,Date,Automatic,TH31-00,42.0,12.0,Round,Steel & Ceramic,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Blue,Sword,,Steel,Silver,Folding Clasp with Push Buttons,Steel,,Men,300,2 Years,Switzerland,TH31-00,Analog,Approx. 80 hours,30.0,28800 bph,,0,Unidirectional Rotating Bezel,21.0,0,,,,,28800.0,0.8,,
Aquaracer Professional 300 Date,377400,TAG Heuer,Aquaracer,Professional 300,WBP5116.BA0013,Date,Automatic,TH31-00,42.0,12.0,Round,Steel & Ceramic,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Green,Sword,,Steel,Silver,Folding Clasp with Push Buttons,Steel,,Men,300,2 Years,Switzerland,TH31-00,Analog,Approx. 80 hours,30.0,28800 bph,,0,Unidirectional Rotating Bezel,21.0,0,,,,,28800.0,0.8,,
Aquaracer Professional 300 Date,377400,TAG Heuer,Aquaracer,Professional 300,WBP5110.BA0013,Date,Automatic,TH31-00,42.0,12.0,Round,Steel & Ceramic,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Black,Sword,,Steel,Silver,Folding Clasp with Push Buttons,Steel,,Men,300,2 Years,Switzerland,TH31-00,Analog,Approx. 80 hours,30.0,28800 bph,,0,Unidirectional Rotating Bezel,21.0,0,,,,,28800.0,0.8,,
Highlife Chronograph Automatic,379500,Frederique Constant,Highlife,Highlife Chronograph Automatic,FC-391NS4NH4,"Chronograph, Date, Small Seconds",Automatic,FC-391,41.0,14.22,Round,Steel & Rose Gold PVD,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Blue,,Baton,Leather,Blue,Pin Buckle,,,Men,100,2 Years,Switzerland,FC-391,Analog,Approx. 60 hours,26.0,28800 bph,,1,,22.0,0,,,,LJPL110,28800.0,0.6,,
Manufacture Classic Moonphase Date,370000,Frederique Constant,Manufacture,Manufacture Classic Moonphase Date,FC-716GR3H6,"Date, Moon Phase",Automatic,FC-716,40.0,11.78,Round,Steel,See-through Case Back,Sapphire Crystal,,Green,,,Leather,Green,Folding Clasp,Steel,,Men,50,2 Years,Switzerland,FC-716,Analog,Approx. 72 hours,26.0,28800 bph,,0,,20.0,0,,,,,28800.0,0.72,,
Highlife Ladies Automatic,180000,Frederique Constant,Highlife,Highlife Ladies Automatic,FC-303LPD2NH6B,Date,Automatic,FC-303,34.0,14.3,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Lavender,,Diamond,Steel,Silver,Folding Clasp with Push Buttons,Steel,,Women,50,2 Years,Switzerland,FC-303,Analog,Approx. 38 hours,26.0,28800 bph,On Dial,1,,22.0,0,,,,SW200,28800.0,0.38,,
Highlife Ladies Automatic,161000,Frederique Constant,Highlife,Highlife Ladies Automatic,FC-303N2NH6B,Date,Automatic,FC-303,34.0,9.8,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Blue,,Baton,Steel,Silver,Folding Clasp with Push Buttons,Steel,,Women,50,2 Years,Switzerland,FC-303,Analog,Approx. 38 hours,26.0,28800 bph,,1,,21.5,0,,,,SW200,28800.0,0.38,,
Manufacture Classic Tourbillon,2564500,Frederique Constant,Manufacture,Manufacture Classic Tourbillon,FC-980G3H9,60 Seconds Tourbillon,Automatic,FC-980-4,39.0,10.99,Round,Rose Gold,See-through Case Back,Sapphire Crystal,,Grey,Alpha,Wedge,Leather,Brown,Folding Buckle,Rose Gold,,Men,30,2 Years,Switzerland,FC-980-4,Analog,Approx. 38 hours,33.0,28800 bph,,0,,20.0,1,,,,,28800.0,0.38,,
Highlife Chronograph Automatic,332000,Frederique Constant,Highlife,Highlife Chronograph Automatic,FC-391SGR4NH6,"Chronograph, Date, Small Seconds",Automatic,FC-391,41.0,14.22,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Beige,,Baton,Leather,Green,Pin Buckle,,,Men,100,2 Years,Switzerland,FC-391,Analog,Approx. 60 hours,26.0,28800 bph,,1,,25.5,1,,,,LJPL110,28800.0,0.6,,
Tissot PR 100 Chronograph,45000,Tissot,T-Classic,Tissot PR 100,T150.417.33.031.00,"Chronograph, Date, EOL Indicator, Small Seconds, 1/10th Seconds",Quartz,,40.0,11.3,Round,Steel & Yellow Gold PVD,,Sapphire Crystal,"On Hands, Hour Markers",Silver,Alpha,Baton,Steel & Yellow Gold PVD,Yellow Gold,Butterfly Clasp With Push Button,Steel & Yellow Gold PVD,,Men,100,2 Years,Switzerland,,,,,,,1,,20.0,0,,,,,,,,
Tissot PR 100 Chronograph,40500,Tissot,T-Classic,Tissot PR 100,T150.417.22.031.00,"Chronograph, Date, EOL Indicator, Small Seconds, 1/10th Seconds",Quartz,,40.0,11.3,Round,Steel & Yellow Gold PVD,,Sapphire Crystal,"On Hands, Hour Markers",Silver,Alpha,Baton,Steel & Yellow Gold PVD,Silver & Yellow Gold,Butterfly Clasp With Push Button,Steel,,Men,100,2 Years,Switzerland,,,,,,,1,,20.0,0,,,,,,,,
Carrera Chronograph,637500,TAG Heuer,Carrera,,CBN2A1A.FC6537,"Chronograph, Date, Small Seconds, Tachymeter, 1/4th seconds",Automatic,Heuer 02,44.0,15.27,Round,Steel & Ceramic,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Blue,Pencil,Baton,Leather,Brown,Folding Clasp with Push Buttons,Steel,,Men,100,2 Years,Switzerland,Heuer 02,Analog,Approx. 80 hours,33.0,28800 bph,,0,,22.0,0,,,,,28800.0,0.8,,
Coupole Automatic Diamonds,171700,Rado,Coupole,,R22865765,,Automatic,R561,31.8,9.7,Round,Steel & Rose Gold PVD,See-through Case Back,Sapphire Crystal,,Champagne,Leaf,Diamond,Leather,Brown,Folding Clasp,Steel & Rose Gold PVD,,Women,50,5 Years,Switzerland,R561,Analog,Approx. 44 hours,25.0,28800 bph,On Dial,0,,16.0,0,,,,,28800.0,0.44,,
True Square Automatic Skeleton,243800,Rado,True Square,,R27177255,,Automatic,R808,38.0,9.7,Square,Ceramic,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Skeleton,Baton,Baton,Rubber,Yellow,Folding Clasp,Titanium,,Unisex,50,5 Years,Switzerland,R808,Analog,Approx. 80 hours,25.0,21600 bph,,0,,,0,,,,,21600.0,0.8,,
Robusto Sans Souci,270000,Cuervo y Sobrinos,Robusto,Robusto Sans Souci,3162B.1A,Small Seconds,Automatic,CYS 5159,38.5,11.1,Round,Steel,,Sapphire Crystal,"On Hands, Hour Markers",Champagne,,Arabic Numerals,Steel,Silver,Folding Clasp,Steel,,Men,50,2 Years,Switzerland,CYS 5159,Analog,Approx. 38 hours,31.0,28800 bph,,1,,,0,,,,Sellita SW 261,28800.0,0.38,,
Chronomat B01 42,785900,Breitling,Chronomat,,AB0134101L2A1,"Chronograph, Date, Small Seconds, Tachymeter, 1/4th seconds",Automatic,Breitling 01 (Manufacture),42.0,15.1,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Green,Baton,Baton,Steel,Silver,Butterfly Clasp,Steel,,Men,200,5 Years,Switzerland,Breitling 01 (Manufacture),Analog,Approx. 70 hours,47.0,28800 bph,,0,Unidirectional Rotating Bezel,22.0,0,,,,,28800.0,0.7,,
Chronomat B01 42,753300,Breitling,Chronomat,,AB0134101G1S2,"Chronograph, Date, Small Seconds, Tachymeter, 1/4th seconds",Automatic,Breitling 01 (Manufacture),42.0,15.1,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Silver,Baton,Baton,Rubber,Black,Folding Clasp,Steel,,Men,200,5 Years,Switzerland,Breitling 01 (Manufacture),Analog,Approx. 70 hours,47.0,28800 bph,,0,Unidirectional Rotating Bezel,22.0,0,,,,,28800.0,0.7,,
Chronomat B01 42,1111400,Breitling,Chronomat,,UB0134131L1U1,"Chronograph, Date, Small Seconds, Tachymeter, 1/4th seconds",Automatic,Breitling 01 (Manufacture),42.0,15.1,Round,Steel & Rose Gold,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Green,,Baton,Steel & Rose Gold,Silver & Rose Gold,Butterfly Clasp,Steel,,Men,200,5 Years,Switzerland,Breitling 01 (Manufacture),Analog,Approx. 70 hours,47.0,28800 bph,,0,Unidirectional Rotating Bezel,22.0,0,,,,,28800.0,0.7,,
DiaStar Original Automatic,188400,Rado,DiaStar Original,,R12161633,Day-Date,Automatic,R764,38.0,12.1,Oval,Steel & Yellow Gold PVD,,Sapphire Crystal,On Hands,Yellow,Baton,,Steel & Yellow Gold PVD,Yellow Gold,Butterfly Clasp,Steel & Yellow Gold PVD,,Unisex,100,5 Years,Switzerland,R764,Analog,Approx. 80 hours,25.0,28800 bph,On Dial,1,,,0,,,,,28800.0,0.8,,
True Square Automatic Open Heart Diamonds Limited Edition,310200,Rado,True Square,,R27086752,Open Balance Wheel,Automatic,R734,38.0,9.7,Square,Ceramic,See-through Case Back,Sapphire Crystal,On Hands,Skeleton,Baton,Diamond,Ceramic,Black & White,Butterfly Clasp,Titanium,,Unisex,50,5 Years,Switzerland,R734,Analog,Approx. 80 hours,25.0,28800 bph,On Dial,0,,,1,,,,,28800.0,0.8,,
Centrix Diamonds,188400,Rado,Centrix,,R30038712,Date,Quartz,,35.0,9.5,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,Brown,Leaf,Diamond,"Ceramic, Steel & Rose Gold PVD",Brown & Rose Gold,Butterfly Clasp,Steel,,Women,50,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
Centrix Diamonds,188400,Rado,Centrix,,R30039712,Date,Quartz,,35.0,9.5,Round,"Steel , Ceramic & Yellow Gold PVD",,Sapphire Crystal,,Black,Leaf,Diamond,"Ceramic, Steel & Yellow Gold PVD",Black & Yellow Gold,Butterfly Clasp,Steel,,Women,50,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
Centrix Diamonds,177300,Rado,Centrix,,R30040712,Date,Quartz,,35.0,9.5,Round,Steel & Ceramic,,Sapphire Crystal,,Black,Leaf,Diamond,Steel & Ceramic,Silver & Black,Butterfly Clasp,Steel,,Women,50,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
True Square Automatic Open Heart Diamonds Limited Edition,310200,Rado,True Square,,R27073752,Open Balance Wheel,Automatic,R734,38.0,9.7,Square,Ceramic,See-through Case Back,Sapphire Crystal,On Hands,Skeleton,Baton,Diamond,Ceramic,Black & White,Butterfly Clasp,Titanium,,Unisex,50,5 Years,Switzerland,R734,Analog,Approx. 80 hours,25.0,28800 bph,On Dial,0,,,1,,,,,28800.0,0.8,,
DiaStar Original Automatic,188400,Rado,DiaStar Original,,R12161653,Day-Date,Automatic,R764,38.0,12.1,Oval,Steel & Yellow Gold PVD,,Sapphire Crystal,On Hands,Yellow & Black,Baton,,Steel & Yellow Gold PVD,Yellow Gold,Butterfly Clasp,,,Unisex,100,5 Years,Switzerland,R764,Analog,Approx. 80 hours,25.0,28800 bph,On Dial,1,,,0,,,,,28800.0,0.8,,
Tissot Seastar 1000 Quartz GMT,46500,Tissot,T-Sport,Tissot Seastar 1000,T120.852.11.051.00,"Date, EOL Indicator, GMT",Quartz,,40.0,11.8,Round,Steel & Mineral,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Black,Pencil,,Steel,Silver,Folding Clasp with Push Buttons,Steel,,Men,300,2 Years,Switzerland,,,,,,,1,Unidirectional Rotating Bezel,,0,,,,,,,,
Tissot Seastar 1000 Quartz GMT,44000,Tissot,T-Sport,Tissot Seastar 1000,T120.852.17.051.00,"Date, EOL Indicator, GMT",Quartz,,40.0,11.8,Round,Steel & Mineral,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Black,Pencil,,Synthetic,Black,Pin Buckle,Steel,,Men,300,2 Years,Switzerland,,,,,,,1,Unidirectional Rotating Bezel,,0,,,,,,,,
Tissot Seastar 1000 Quartz GMT,51000,Tissot,T-Sport,Tissot Seastar 1000,T120.852.22.051.00,"Date, EOL Indicator, GMT",Quartz,,40.0,11.8,Round,"Steel , Mineral & Yellow Gold PVD",,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Black,Pencil,,Steel & Yellow Gold PVD,Silver & Yellow Gold,Folding Clasp with Push Buttons,Steel,,Men,300,2 Years,Switzerland,,,,,,,1,Unidirectional Rotating Bezel,,0,,,,,,,,
Tissot T-My Lady Automatic,86000,Tissot,T-Classic,Tissot T-My Lady,T132.007.11.336.00,Date,Automatic,7 3/4''',29.3,10.6,Round,Steel,See-through Case Back,Sapphire Crystal,,Pink,Alpha,Diamond,Steel,Silver,Butterfly Clasp With Push Button,Steel,,Women,100,2 Years,Switzerland,7 3/4''',Analog,Approx. 48 hours,24.0,21600 bph,On Dial,1,,15.0,0,,,,,21600.0,0.48,,
Seamaster Diver 300M 42 mm,635000,Omega,Seamaster,Diver 300M,210.30.42.20.04.002,Helium Escape Valve,Automatic,8806,42.0,13.8,Round,Steel & Ceramic,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers & Bezel",White,,,Steel,Silver,Folding Clasp,Steel,,Men,300,5 Years,Switzerland,8806,Analog,Approx. 55 hours,35.0,25200 bph,,0,Unidirectional Rotating Bezel,20.0,0,,,,,25200.0,0.55,,
DiaStar Original Automatic,188400,Rado,DiaStar Original,,R12161643,Day-Date,Automatic,R764,38.0,12.1,Oval,Steel & Yellow Gold PVD,,Sapphire Crystal,On Hands,Yellow,Baton,,Steel & Yellow Gold PVD,Yellow Gold,Butterfly Clasp,,,Unisex,100,5 Years,Switzerland,R764,Analog,Approx. 80 hours,25.0,28800 bph,On Dial,1,,,0,,,,,28800.0,0.8,,
Aquaracer Professional 300 Date,357000,TAG Heuer,Aquaracer,Professional 300,WBP5111.FT6259,Date,Automatic,TH31-00,42.0,12.0,Round,Steel & Ceramic,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Blue,Sword,,Rubber,Blue,Folding Clasp with Push Buttons,Steel,,Men,300,2 Years,Switzerland,TH31-00,Analog,Approx. 80 hours,30.0,28800 bph,,0,Unidirectional Rotating Bezel,21.0,0,,,,,28800.0,0.8,,
Aquaracer Professional 300 Date,357000,TAG Heuer,Aquaracer,Professional 300,WBP5110.FT6257,Date,Automatic,TH31-00,42.0,12.0,Round,Steel & Ceramic,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Black,Sword,,Rubber,Black,Folding Clasp with Push Buttons,Steel,,Men,300,2 Years,Switzerland,TH31-00,Analog,Approx. 80 hours,30.0,28800 bph,,0,Unidirectional Rotating Bezel,21.0,0,,,,,28800.0,0.8,,
Carrera Date,326400,TAG Heuer,Carrera,,WBN2316.BA0001,Date,Automatic,Calibre 7 Automatic,36.0,10.2,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Blue,Pencil,Baton,Steel,Silver,Folding Clasp with Push Buttons,Steel,,Women,50,2 Years,Switzerland,Calibre 7 Automatic,Analog,Approx. 50 hours,25.0,28800 bph,,0,,19.0,0,,,,,28800.0,0.5,,
Carrera Date,494700,TAG Heuer,Carrera,,WBN2350.BD0000,Date,Automatic,Calibre 7 Automatic,36.0,10.6,Round,Steel & Rose Gold,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Pink,Pencil,Baton,Steel & Rose Gold,Silver & Rose Gold,Folding Clasp with Push Buttons,Steel,,Women,50,2 Years,Switzerland,Calibre 7 Automatic,Analog,Approx. 50 hours,25.0,28800 bph,,0,,19.0,0,,,,,28800.0,0.5,,
Aquaracer Professional 300 GMT,397800,TAG Heuer,Aquaracer,Professional 300,WBP5114.FT6259,"Date, GMT",Automatic,TH31-03,42.0,13.1,Round,Steel & Ceramic,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Blue,Sword,,Rubber,Blue,Folding Clasp with Push Buttons,Steel,,Men,300,2 Years,Switzerland,TH31-03,Analog,Approx. 80 hours,30.0,28800 bph,,0,Bi-directional Rotating Bezel,21.0,0,,,,,28800.0,0.8,,
Aquaracer Professional 300 GMT,418200,TAG Heuer,Aquaracer,Professional 300,WBP5115.BA0013,"Date, GMT",Automatic,TH31-03,42.0,13.1,Round,Steel & Ceramic,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Green,Sword,,Steel,Silver,Folding Clasp with Push Buttons,Steel,,Men,300,2 Years,Switzerland,TH31-03,Analog,Approx. 80 hours,30.0,28800 bph,,0,Bi-directional Rotating Bezel,21.0,0,,,,,28800.0,0.8,,
Classics Premiere,218000,Frederique Constant,Classics,Classics Premiere,FC-301S3B5,,Automatic,FC-301,38.5,10.67,Round,Steel & Yellow Gold,See-through Case Back,Sapphire Crystal,,Silver,,Roman Numerals,Leather,Black,Pin Buckle,,,Men,50,2 Years,Switzerland,FC-301,Analog,Approx. 68 hours,24.0,28800 bph,,0,,20.0,0,,,,Base LJPG100,28800.0,0.68,,
Classics Moneta Moonphase,104000,Frederique Constant,Classics,Classics Moneta Moonphase,FC-206S3S6,Moon Phase,Quartz,,37.0,7.65,Round,Steel,,Sapphire Crystal,,Silver,Dauphine,Wedge,Leather,Brown,Pin Buckle,,,Men,50,2 Years,Switzerland,,,,,,,0,,18.0,0,,,,,,,,
Highlife Automatic Cosc,190000,Frederique Constant,Highlife,Highlife Automatic COSC,FC-303GRS3NH6B,Date,Automatic,FC-303,39.0,10.34,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Green,Pencil,Baton,Steel,Silver,Folding Clasp with Push Buttons,Steel,,Men,100,2 Years,Switzerland,FC-303,Analog,Approx. 38 hours,26.0,28800 bph,,1,,24.0,0,,,,SW200,28800.0,0.38,,
Highlife Ladies Automatic,181000,Frederique Constant,Highlife,Highlife Ladies Automatic,FC-303PD2NH6B,Date,Automatic,FC-303,34.0,9.67,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Purple,Pencil,Diamond,Steel,Silver,Folding Clasp with Push Buttons,Steel,,Women,50,2 Years,Switzerland,FC-303,Analog,Approx. 38 hours,26.0,28800 bph,On Dial,1,,21.5,0,,,,,28800.0,0.38,,
Highlife Automatic Cosc,190000,Frederique Constant,Highlife,Highlife Automatic COSC,FC-303BBG3NH6B,Date,Automatic,FC-303,39.0,10.34,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Black,Pencil,Baton,Steel,Silver,Folding Clasp with Push Buttons,Steel,,Men,100,2 Years,Switzerland,FC-303,Analog,Approx. 38 hours,26.0,28800 bph,,1,,24.0,0,,,,SW200,28800.0,0.38,,
"Tango Classic Ladies Quartz Aubergine Purple Frosted Dial Steel Date Watch, 30 mm",138000,Raymond Weil,Tango,,5960-ST-50161,Date,Quartz,,30.0,7.35,Round,Steel,,Sapphire Crystal,"On Hands, Hour Markers",Purple,Baton,Baton,Steel,Silver,Folding Clasp with Push Buttons,Steel,,Women,100,2 Years + 1 year warranty extension by registering here,Switzerland,,,,,,,0,,,0,,,,,,,,
